Station Name,Station Id,State Code,State Name,Network Code,Network Name,Elevation,Latitude,Longitude,County Name,County Code,HUC2 (2-digit),HUC2 Name,HUC4 (4-digit),HUC4 Name,HUC6 (6-digit),HUC6 Name,HUC8 (8-digit),HUC8 Name,HUC10 (10-digit),HUC10 Name,HUC12 (12-digit),HUC12 Name,Report Time Zone (Offset from GMT),DCO,Acton Id,SHEF Id,Start Date,End Date
Moon Pass,1124,CO,COLORADO,SNTL,SNOTEL,11128,37.96627,-106.55857,Saguache,109,13,Rio Grande Region,1301,Rio Grande Headwaters,130100,Rio Grande Headwaters,13010004,Saguache,1301000402,Squaw Creek-Saguache Creek,130100040201,California Gulch,-8.0,CO,06M26S,MOPC2,2008-10-01,2100-01-01
Nast Lake,658,CO,COLORADO,SNTL,SNOTEL,8731,39.29695,-106.60786,Pitkin,097,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010004,Roaring Fork,1401000405,Fryingpan River,140100040504,Deeds Creek-Fryingpan River,-8.0,CO,06K06S,NSSC2,1985-10-01,2100-01-01
Never Summer,1031,CO,COLORADO,SNTL,SNOTEL,10323,40.40392,-105.95567,Jackson,057,10,Missouri Region,1018,North Platte,101800,North Platte,10180001,North Platte Headwaters,1018000104,Illinois River,101800010401,Jack Creek,-8.0,CO,06J27S,NEVC2,2002-09-01,2100-01-01
Niwot,663,CO,COLORADO,SNTL,SNOTEL,9979,40.03581,-105.54520,Boulder,013,10,Missouri Region,1019,South Platte,101900,South Platte,10190005,St. Vrain,1019000504,Headwaters Boulder Creek,101900050401,North Boulder Creek,-8.0,CO,05J42S,NIWC2,1979-10-01,2100-01-01
North Lost Trail,669,CO,COLORADO,SNTL,SNOTEL,9219,39.07818,-107.14388,Gunnison,051,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010004,Roaring Fork,1401000407,Cyrstal River,140100040703,Yule Creek-Crystal River,-8.0,CO,07K01S,NLSC2,1984-10-01,2100-01-01
Overland Res.,675,CO,COLORADO,SNTL,SNOTEL,9893,39.09035,-107.63583,Delta,029,14,Upper Colorado Region,1402,Gunnison,140200,Gunnison,14020004,North Fork Gunnison,1402000401,West Muddy Creek,140200040101,Cow Creek,-8.0,CO,07K14S,OVRC2,1988-10-01,2100-01-01
Park Cone,680,CO,COLORADO,SNTL,SNOTEL,9621,38.81982,-106.58962,Gunnison,051,14,Upper Colorado Region,1402,Gunnison,140200,Gunnison,14020001,East-Taylor,1402000101,Taylor River,140200010107,Taylor Park Reservoir,-8.0,CO,06L02S,PKCC2,1979-10-01,2100-01-01
Park Reservoir,682,CO,COLORADO,SNTL,SNOTEL,9987,39.04433,-107.87951,Delta,029,14,Upper Colorado Region,1402,Gunnison,140200,Gunnison,14020005,Lower Gunnison,1402000501,Tongue Creek-Gunnison River,140200050111,Surface Creek,-8.0,CO,07K06S,PRVC2,1978-10-01,2100-01-01
Phantom Valley,688,CO,COLORADO,SNTL,SNOTEL,9045,40.39803,-105.84606,Grand,049,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010001,Colorado Headwaters,1401000103,Headwaters Colorado River,140100010302,Headwaters Colorado River,-8.0,CO,05J04S,PHTC2,1979-10-01,2100-01-01
Porphyry Creek,701,CO,COLORADO,SNTL,SNOTEL,10788,38.48864,-106.33967,Gunnison,051,14,Upper Colorado Region,1402,Gunnison,140200,Gunnison,14020003,Tomichi,1402000301,Headwaters Tomichi Creek,140200030105,Porphyry Creek-Tomichi Creek,-8.0,CO,06L03S,PRPC2,1978-10-01,2100-01-01
Rabbit Ears,709,CO,COLORADO,SNTL,SNOTEL,9411,40.36735,-106.74118,Routt,107,14,Upper Colorado Region,1405,White-Yampa,140500,White-Yampa,14050001,Upper Yampa,1405000104,Oak Creek-Yampa River,140500010402,Harrison Creek,-8.0,CO,06J09S,RESC2,1985-10-01,2100-01-01
Rawah,1032,CO,COLORADO,SNTL,SNOTEL,9069,40.70794,-106.00727,Jackson,057,10,Missouri Region,1018,North Platte,101800,North Platte,10180001,North Platte Headwaters,1018000106,Canadian River,101800010603,Middle Canadian River,-8.0,CO,06J20S,RAWC2,2002-09-01,2100-01-01
Red Mountain Pass,713,CO,COLORADO,SNTL,SNOTEL,11080,37.89168,-107.71389,San Juan,111,14,Upper Colorado Region,1408,San Juan,140801,Upper San Juan,14080104,Animas,1408010401,Headwaters Animas River,140801040103,Mineral Creek,-8.0,CO,07M33S,RMPC2,1979-10-01,2100-01-01
Ripple Creek,717,CO,COLORADO,SNTL,SNOTEL,10350,40.10844,-107.29383,Rio Blanco,103,14,Upper Colorado Region,1405,White-Yampa,140500,White-Yampa,14050005,Upper White,1405000501,North Fork White River,140500050102,Snell Creek-North Fork White River,-8.0,CO,07J05S,RCPC2,1985-10-01,2100-01-01
Roach,718,CO,COLORADO,SNTL,SNOTEL,9740,40.87498,-106.04675,Larimer,069,10,Missouri Region,1018,North Platte,101800,North Platte,10180010,Upper Laramie,1018001001,Laramie River-Grace Creek,101800100106,Laramie River-Stuck Creek,-8.0,CO,06J12S,ROAC2,1979-10-01,2100-01-01
Rough And Tumble,939,CO,COLORADO,SNTL,SNOTEL,10432,39.02611,-106.08063,Park,093,10,Missouri Region,1019,South Platte,101900,South Platte,10190001,South Platte Headwaters,1019000102,South Fork South Platte River,101900010202,Headwaters South Fork South Platte River,-8.0,CO,06K43S,ROUC2,1998-08-10,2100-01-01
Saint Elmo,1100,CO,COLORADO,SNTL,SNOTEL,10450,38.69985,-106.36805,Chaffee,015,11,Arkansas-White-Red Region,1102,Upper Arkansas,110200,Upper Arkansas,11020001,Arkansas Headwaters,1102000105,Chalk Creek,110200010501,Headwaters Chalk Creek,-8.0,CO,06L05S,CTEC2,2007-08-30,2100-01-01
Sargents Mesa,1128,CO,COLORADO,SNTL,SNOTEL,11499,38.28560,-106.37085,Saguache,109,13,Rio Grande Region,1301,Rio Grande Headwaters,130100,Rio Grande Headwaters,13010004,Saguache,1301000403,Middle Creek-Saguache Creek,130100040306,Middle Creek,-8.0,CO,06L13S,SGMC2,2008-10-01,2100-01-01
Sawtooth,1251,CO,COLORADO,SNTL,SNOTEL,9676,40.13632,-105.58486,Boulder,013,10,Missouri Region,1019,South Platte,101900,South Platte,10190005,St. Vrain,1019000501,South Saint Vrain Creek,101900050102,Middle Saint Vrain Creek,-8.0,CO,05J45S,SATC2,2014-09-23,2100-01-01
Schofield Pass,737,CO,COLORADO,SNTL,SNOTEL,10653,39.01467,-107.04933,Gunnison,051,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010004,Roaring Fork,1401000407,Cyrstal River,140100040701,South Fork Crystal River,-8.0,CO,07K11S,SOSC2,1984-10-01,2100-01-01
Scotch Creek,739,CO,COLORADO,SNTL,SNOTEL,9195,37.64562,-108.00833,Dolores,033,14,Upper Colorado Region,1403,Upper Colorado-Dolores,140300,Upper Colorado-Dolores,14030002,Upper Dolores,1403000202,Headwaters Dolores River,140300020204,Scotch Creek-Dolores River,-8.0,CO,08M08S,SHSC2,1985-10-01,2100-01-01
Sharkstooth,1060,CO,COLORADO,SNTL,SNOTEL,10747,37.50356,-108.11405,Montezuma,083,14,Upper Colorado Region,1403,Upper Colorado-Dolores,140300,Upper Colorado-Dolores,14030002,Upper Dolores,1403000202,Headwaters Dolores River,140300020206,Bear Creek,-8.0,CO,08M04S,SKZC2,2004-10-01,2100-01-01
Slumgullion,762,CO,COLORADO,SNTL,SNOTEL,11560,37.99076,-107.20392,Hinsdale,053,14,Upper Colorado Region,1402,Gunnison,140200,Gunnison,14020002,Upper Gunnison,1402000205,Cebolla Creek,140200020502,Headwaters Cebolla Creek,-8.0,CO,07M30S,SLMC2,1979-10-01,2100-01-01
South Colony,773,CO,COLORADO,SNTL,SNOTEL,10868,37.96647,-105.53671,Custer,027,11,Arkansas-White-Red Region,1102,Upper Arkansas,110200,Upper Arkansas,11020001,Arkansas Headwaters,1102000112,Headwaters Grape Creek,110200011206,Colony Creek-Grape Creek,-8.0,CO,05M13S,SCYC2,1990-10-01,2100-01-01
Spud Mountain,780,CO,COLORADO,SNTL,SNOTEL,10674,37.69883,-107.77841,San Juan,111,14,Upper Colorado Region,1408,San Juan,140801,Upper San Juan,14080104,Animas,1408010402,Cascade Creek,140801040202,Lime Creek,-8.0,CO,07M11S,SPSC2,1985-10-01,2100-01-01
Stillwater Creek,793,CO,COLORADO,SNTL,SNOTEL,8880,40.22532,-105.91980,Grand,049,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010001,Colorado Headwaters,1401000103,Headwaters Colorado River,140100010306,Stillwater Creek,-8.0,CO,05J12S,SCSC2,1985-10-01,2100-01-01
Stump Lakes,797,CO,COLORADO,SNTL,SNOTEL,11248,37.47647,-107.63348,La Plata,067,14,Upper Colorado Region,1408,San Juan,140801,Upper San Juan,14080104,Animas,1408010407,Headwaters Florida River,140801040702,Virginia Gulch-Florida River,-8.0,CO,07M34S,STPC2,1985-10-01,2100-01-01
Summit Ranch,802,CO,COLORADO,SNTL,SNOTEL,9371,39.71803,-106.15770,Summit,117,14,Upper Colorado Region,1401,Colorado Headwaters,140100,Colorado Headwaters,14010002,Blue,1401000205,Middle Blue River,140100020502,Rock Creek-Blue River,-8.0,CO,06K14S,SUMC2,1979-10-01,2100-01-01
Tower,825,CO,COLORADO,SNTL,SNOTEL,10620,40.53740,-106.67655,Routt,107,14,Upper Colorado Region,1405,White-Yampa,140500,White-Yampa,14050001,Upper Yampa,1405000104,Oak Creek-Yampa River,140500010407,Fish Creek,-8.0,CO,06J29S,TOWC2,1978-10-01,2100-01-01
Trapper Lake,827,CO,COLORADO,SNTL,SNOTEL,9759,39.99881,-107.23618,Garfield,045,14,Upper Colorado Region,1405,White-Yampa,140500,White-Yampa,14050005,Upper White,1405000501,North Fork White River,140500050101,Headwaters North Fork White River,-8.0,CO,07K13S,TLSC2,1985-10-01,2100-01-01
